Book-Title,num_ratings,avg_rating,Book-Author,Image-URL-M
"The Two Towers (The Lord of the Rings, Part 2)",136,9.330882352941176,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg
"The Return of the King (The Lord of the Rings, Part 3)",103,9.21359223300971,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339738.01.MZZZZZZZ.jpg
Harry Potter and the Goblet of Fire (Book 4),247,9.125506072874494,J. K. Rowling,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Book 1),176,9.0625,J. K. Rowling,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg
Harry Potter and the Order of the Phoenix (Book 5),211,9.04739336492891,J. K. Rowling,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg
Harry Potter and the Prisoner of Azkaban (Book 3),277,9.04332129963899,J. K. Rowling,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg
To Kill a Mockingbird,267,8.97752808988764,Harper Lee,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),315,8.936507936507937,J. K. Rowling,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg
Ender's Game (Ender Wiggins Saga (Paperback)),151,8.920529801324504,Orson Scott Card,http://images.amazon.com/images/P/0312853238.01.MZZZZZZZ.jpg
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",205,8.882926829268293,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg
Harry Potter and the Chamber of Secrets (Book 2),326,8.840490797546012,J. K. Rowling,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg
1984,144,8.784722222222221,George Orwell,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg
The Hobbit : The Enchanting Prelude to The Lord of the Rings,161,8.73913043478261,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg
"The Subtle Knife (His Dark Materials, Book 2)",107,8.672897196261681,PHILIP PULLMAN,http://images.amazon.com/images/P/0375823468.01.MZZZZZZZ.jpg
The Giver (21st Century Reference),102,8.627450980392156,LOIS LOWRY,http://images.amazon.com/images/P/0440219078.01.MZZZZZZZ.jpg
A Prayer for Owen Meany,182,8.615384615384615,John Irving,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg
Watership Down,134,8.611940298507463,Richard George Adams,http://images.amazon.com/images/P/038039586X.01.MZZZZZZZ.jpg
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",250,8.588,MITCH ALBOM,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg
The Color Purple,145,8.586206896551724,Alice Walker,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg
Fahrenheit 451,204,8.549019607843137,Ray Bradbury,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg
Fried Green Tomatoes at the Whistle Stop Cafe,126,8.531746031746032,Fannie Flagg,http://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg
The Hitchhiker's Guide to the Galaxy,136,8.529411764705882,Douglas Adams,http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg
The Green Mile,114,8.526315789473685,Stephen King,http://images.amazon.com/images/P/0671032658.01.MZZZZZZZ.jpg
Night,100,8.52,Elie Wiesel,http://images.amazon.com/images/P/0553272535.01.MZZZZZZZ.jpg
Outlander,139,8.496402877697841,DIANA GABALDON,http://images.amazon.com/images/P/0440222915.01.MZZZZZZZ.jpg
The Secret Life of Bees,406,8.47783251231527,Sue Monk Kidd,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg
Seabiscuit: An American Legend,133,8.473684210526315,LAURA HILLENBRAND,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg
The Handmaid's Tale,125,8.456,Margaret Atwood,http://images.amazon.com/images/P/0449212602.01.MZZZZZZZ.jpg
The Da Vinci Code,494,8.43927125506073,Dan Brown,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg
Fast Food Nation: The Dark Side of the All-American Meal,154,8.415584415584416,Eric Schlosser,http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg
"The Golden Compass (His Dark Materials, Book 1)",160,8.4,PHILIP PULLMAN,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg
Silence of the Lambs,121,8.380165289256198,Thomas Harris,http://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg
ANGELA'S ASHES,136,8.360294117647058,Frank McCourt,http://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg
The Poisonwood Bible,112,8.348214285714286,Barbara Kingsolver,http://images.amazon.com/images/P/0060175400.01.MZZZZZZZ.jpg
Animal Farm,120,8.3,George Orwell,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),124,8.298387096774194,Janet Evanovich,http://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg
The Bean Trees,192,8.28125,Barbara Kingsolver,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg
I Know This Much Is True,106,8.264150943396226,Wally Lamb,http://images.amazon.com/images/P/0060987561.01.MZZZZZZZ.jpg
Two for the Dough,112,8.258928571428571,Janet Evanovich,http://images.amazon.com/images/P/0671001795.01.MZZZZZZZ.jpg
Nickel and Dimed: On (Not) Getting By in America,174,8.258620689655173,Barbara Ehrenreich,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg
The Color of Water: A Black Man's Tribute to His White Mother,111,8.252252252252251,James McBride,http://images.amazon.com/images/P/1573225789.01.MZZZZZZZ.jpg
A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),106,8.20754716981132,Bill Bryson,http://images.amazon.com/images/P/0767902521.01.MZZZZZZZ.jpg
Lucky : A Memoir,133,8.19548872180451,Alice Sebold,http://images.amazon.com/images/P/0316096199.01.MZZZZZZZ.jpg
The Lovely Bones: A Novel,707,8.185289957567186,Alice Sebold,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg
The Red Tent (Bestselling Backlist),383,8.182767624020888,Anita Diamant,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg
Four Blind Mice,104,8.182692307692308,James Patterson,http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg
The Alchemist: A Fable About Following Your Dream,126,8.182539682539682,Paulo Coelho,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg
The Poisonwood Bible: A Novel,218,8.178899082568808,Barbara Kingsolver,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg
Prodigal Summer: A Novel,138,8.159420289855072,Barbara Kingsolver,http://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg
The Joy Luck Club,208,8.153846153846153,Amy Tan,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg
